awsOrigin,domain,state,lat,lng,locationVerified,httpResponseCode,contentLength,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets,siteOperator,twitterSuspended
34.236.176.60,naturecoasttimes.com,FL,28.49,-82.46,0,200,73750,https://www.facebook.com/Nature-Coast-Times-100274984874177/,Nature Coast Times,,,,,,,,Metric Media,
3.82.80.110,ncfloridanews.com,FL,27.66,-81.52,0,200,78190,https://www.facebook.com/NC-Florida-News-108602620696523/,NC Florida News,,,,,,,,Metric Media,
34.236.176.60,ncgeorgianews.com,GA,32.17,-82.9,0,200,63464,https://www.facebook.com/NC-Georgia-News-100405638310897/,NC Georgia News,,,,,,,,Metric Media,
34.236.176.60,ncncnews.com,NC,35.76,-79.02,0,200,79813,https://www.facebook.com/NC-North-Carolina-News-112558680139451/,NC North Carolina News,,,,,,,,Metric Media,
3.82.80.110,ncsctimes.com,SC,33.84,-81.16,0,200,49251,,NC South Carolina Times,,,,,,,,Metric Media,
3.82.80.110,ncunionnews.com,NC,34.93,-80.54,0,200,79620,https://www.facebook.com/Union-News-114326133299310/,Union News,,,,,,,,Metric Media,
3.82.80.110,ncwvnews.com,WV,38.6,-80.45,0,200,46511,https://www.facebook.com/NC-West-Virginia-News-112561160403651/,NC West Virginia News,,,,,,,,Metric Media,
34.236.176.60,neatlantanews.com,GA,33.75,-84.39,0,200,70154,https://www.facebook.com/NE-Atlanta-News-101387741544046/?ref=br_rs,NE Atlanta News,,,,,,,,Metric Media,
34.236.176.60,nefloridanews.com,FL,27.66,-81.52,0,200,75886,https://www.facebook.com/NE-Florida-News-110424683845927/?ref=br_rs,NE Florida News,,,,,,,,Metric Media,
34.236.176.60,nepiedmontnews.com,NC,35.1,-80.49,0,200,80359,https://www.facebook.com/NE-Piedmont-News-108836913847873/,NE Piedmont News,,,,,,,,Metric Media,
34.236.176.60,newrivervalleytimes.com,VA,37.13,-80.58,0,200,55633,https://www.facebook.com/New-River-Valley-Times-107265100945580/,New River Valley Times,,,,,,,,Metric Media,
34.236.176.60,northbrowardnews.com,FL,26.19,-80.37,0,200,75551,https://www.facebook.com/North-Broward-News-113038013581723/,North Broward News,,,,,,,,Metric Media,
3.82.80.110,northcharlottetoday.com,NC,35.23,-80.84,0,200,78437,,North Charlotte Today,,,,,,,,Metric Media,
52.58.78.16,northcharolettenews.com,,35.23,-80.84,0,200,-1,https://www.facebook.com/sharer.php?u=NorthCharoletteNews.com,,,,,,,,,,
3.82.80.110,northernnecktimes.com,VA,37.77,-76.36,0,200,56778,https://www.facebook.com/Northern-Neck-Times-103164214691407/,Northern Neck Times,,,,,,,,Metric Media,
34.236.176.60,northfairfaxnews.com,VA,38.85,-77.31,1,200,58013,https://www.facebook.com/North-Fairfax-News-105053771169318,North Fairfax News,,,,,,,,Metric Media,
3.82.80.110,northfultontoday.com,GA,33.8,-84.4,0,200,59002,,North Fulton Today,,,,,,,,Metric Media,
34.236.176.60,northguilfordnews.com,NC,36.09,-79.83,0,200,79913,https://www.facebook.com/North-Guilford-News-117744056288004/,North Guilford News,,,,,,,,Metric Media,
34.236.176.60,northgwinnettnews.com,GA,33.92,-84.02,0,200,61954,https://www.facebook.com/North-Gwinnett-News-100403718311072/,North Gwinnett News,,,,,,,,Metric Media,
3.82.80.110,northiredellnews.com,NC,35.83,-80.9,0,200,78457,https://www.facebook.com/North-Iredell-News-118400609555835/,North Iredell News,,,,,,,,Metric Media,
3.82.80.110,northlaketimes.com,FL,28.7,-81.78,0,200,76053,https://www.facebook.com/North-Lake-Times-105737900987685/,North Lake Times,,,,,,,,Metric Media,
3.82.80.110,northmecklenburgnews.com,NC,35.26,-80.85,0,200,78640,https://www.facebook.com/North-Mecklenburg-News-116572919739799,North Mecklenburg News,,,,,,,,Metric Media,
34.236.176.60,northmianews.com,FL,25.55,-80.63,0,200,77233,https://www.facebook.com/North-Miami-Dade-News-101222711443783/,North Miami-Dade News,,,,,,,,Metric Media,
34.236.176.60,northnewcastlenews.com,DE,39.66,-75.57,0,200,65104,https://www.facebook.com/North-New-Castle-News-106071607478194/,North New Castle News,,,,,,,,Metric Media,
3.82.80.110,northorlandonews.com,FL,28.54,-81.38,0,200,78667,https://www.facebook.com/North-Orlando-News-100554554845114/,North Orlando News,,,,,,,,Metric Media,
3.82.80.110,northpalmbeachtoday.com,FL,26.71,-80.04,0,200,76100,https://www.facebook.com/North-Palm-Beach-Today-110522943835920/,North Palm Beach Today,,,,,,,,Metric Media,
3.82.80.110,northpanhandlenews.com,FL,30.42,-87.22,0,200,72894,https://www.facebook.com/North-Panhandle-News-111122703775501/,North Panhandle News,,,,,,,,Metric Media,
3.82.80.110,northpanhandletimes.com,WV,39.33,-78.57,1,200,48034,https://www.facebook.com/North-Panhandle-News-111122703775501/?__tn__=%2Cd%2CP-R&amp;eid=ARC3cG6neqcRvxv2_jJSdr7L8NGyM41X_5M8oZ-_E09_IdOSLO0OlBmnNGzQ7sOcEqjSF2cUQY7DN00t,North Panhandle Times,,,,,,,,Metric Media,
34.236.176.60,northpinellasnews.com,FL,27.88,-82.78,0,200,73420,https://www.facebook.com/North-Pinellas-News-101490931415501/,North Pinellas News,,,,,,,,Metric Media,
3.82.80.110,northraleightoday.com,NC,35.78,-78.64,0,200,81375,https://www.facebook.com/North-Raleigh-Today-101883081216354/,North Raleigh Today,,,,,,,,Metric Media,
3.82.80.110,northrichmondtoday.com,VA,37.54,-77.44,1,200,57728,https://www.facebook.com/North-Richmond-Today-103908591282451/,North Richmond Today,,,,,,,,Metric Media,
34.236.176.60,northshenandoahnews.com,VA,38.49,-78.63,0,200,56392,https://www.facebook.com/North-Shenandoah-News-106438834359710/,North Shenandoah News,,,,,,,,Metric Media,
34.236.176.60,northtidewaternews.com,VA,37.85,-76.7,0,200,56765,https://www.facebook.com/North-Tidewater-News-104310564575077/,North Tidewater News,,,,,,,,Metric Media,
34.236.176.60,northtrianglenews.com,NC,35.9,-78.86,0,200,79877,https://www.facebook.com/North-Triangle-News-105840757485319/,North Triangle News,,,,,,,,Metric Media,
34.236.176.60,northwakenews.com,NC,35.8,-78.57,0,200,78300,https://www.facebook.com/North-Wake-News-109237560477468/,North Wake News,,,,,,,,Metric Media,
3.82.80.110,nwatlantanews.com,GA,33.75,-84.39,0,200,65297,https://www.facebook.com/NW-Atlanta-News-100556788295571/,NW Atlanta News,,,,,,,,Metric Media,
34.236.176.60,nwgeorgianews.com,GA,32.17,-82.9,0,200,58411,https://www.facebook.com/NW-Georgia-News-100284841723898/,NW Georgia News,,,,,,,,Metric Media,
34.236.176.60,ocalastandard.com,FL,29.19,-82.14,0,200,75874,https://www.facebook.com/Ocala-Standard-100141844887787/,Ocala Standard,,,,,,,,Metric Media,
3.82.80.110,ohiovalleytimes.com,WV,38.6,-80.45,0,200,47616,https://www.facebook.com/Ohio-Valley-Times-103101981361449/,Ohio Valley Times,,,,,,,,Metric Media,
3.82.80.110,okeechobeetimes.com,FL,27.24,-80.83,0,200,75428,https://www.facebook.com/Okeechobee-Times-101270541438881/,Okeechobee Times,,,,,,,,Metric Media,
34.236.176.60,oldnorthnews.com,NC,35.6,-82.55,0,200,-1,https://www.facebook.com/Old-North-News-101380274600494/,Old North News,,,,,,,,Metric Media,
34.236.176.60,onslownews.com,NC,34.65,-77.47,0,200,79049,https://www.facebook.com/Onslow-News-111657603563549/,Onslow News,,,,,,,,Metric Media,
34.236.176.60,orlandostandard.com,FL,28.54,-81.38,0,200,74891,https://www.facebook.com/Orlando-Standard-101179434781493/,Orlando Standard,,,,,,,,Metric Media,
34.236.176.60,outerbankstimes.com,NC,35.56,-75.47,0,200,80935,https://www.facebook.com/Outer-Banks-Times-103345204402491/,Outer Banks Times,,,,,,,,Metric Media,
3.82.80.110,palmcoasttimes.com,FL,29.58,-81.21,0,200,74729,https://www.facebook.com/Palm-Coast-Times-101858877840714/,Palm Coast Times,,,,,,,,Metric Media,
3.82.80.110,palmettostatenews.com,SC,33.84,-81.16,0,200,38928,https://www.facebook.com/Palmetto-State-News-109502310723885/,Palmetto State News,,,,,,,,Metric Media,
34.236.176.60,panamacityreporter.com,FL,30.16,-85.66,0,200,73825,https://www.facebook.com/Panama-City-Reporter-104804134415181/,Panama City Reporter,,,,,,,,Metric Media,
34.236.176.60,pascoreporter.com,FL,28.32,-82.43,0,200,73854,https://www.facebook.com/Pasco-Reporter-110691493820484/,Pasco Reporter,,,,,,,,Metric Media,
3.82.80.110,peachtreetimes.com,GA,33.4,-84.6,0,200,62533,https://www.facebook.com/Peach-Tree-Times-107188720968827/,Peach Tree Times,,,,,,,,Metric Media,
3.82.80.110,peedeenews.com,SC,34.21,-79.54,0,200,53198,https://www.facebook.com/Pee-Dee-News-104287464585698/,Pee Dee News,,,,,,,,Metric Media,
3.82.80.110,pensacolatimes.com,FL,30.42,-87.22,0,200,77323,https://www.facebook.com/Pensacola-Times-100157044888151/,Pensacola Times,,,,,,,,Metric Media,
3.82.80.110,pinehursttoday.com,NC,35.2,-79.47,0,200,80308,https://www.facebook.com/Pinehurst-Today-108624233872424/,Pinehurst Today,,,,,,,,Metric Media,
3.82.80.110,pinellastimes.com,FL,27.88,-82.78,0,200,73261,https://www.facebook.com/Pinellas-Times-115195516698829/,Pinellas Times,,,,,,,,Metric Media,
34.236.176.60,polktimes.com,FL,27.86,-81.69,0,200,76493,https://www.facebook.com/Polk-Times-101035778131143/,Polk Times,,,,,,,,Metric Media,
3.82.80.110,princewilliamreporter.com,VA,38.78,-77.61,0,200,55252,https://www.facebook.com/Prince-William-Reporter-100650651614060/,Prince William Reporter,,,,,,,,Metric Media,
34.236.176.60,randolphcountynews.com,NC,35.74,-79.83,0,200,80578,https://www.facebook.com/Randolph-County-News-119232536138350/,Randolph County News,,,,,,,,Metric Media,
34.236.176.60,richmondleader.com,VA,37.54,-77.44,0,200,58206,https://www.facebook.com/Richmond-Leader-107844947552946,Richmond Leader,,,,,,,,Metric Media,
34.236.176.60,roanokesun.com,VA,37.27,-79.94,0,200,53046,https://www.facebook.com/Roanoke-Sun-101079134903529/,Roanoke Sun,,,,,,,,Metric Media,
3.82.80.110,rockymounttoday.com,NC,35.94,-77.79,0,200,80596,https://www.facebook.com/Rocky-Mount-Today-115352959862275/,Rocky Mount Today,,,,,,,,Metric Media,
3.82.80.110,romereporter.com,GA,34.26,-85.16,0,200,55903,https://www.facebook.com/Rome-Reporter-106552034367609/,Rome Reporter,,,,,,,,Metric Media,
34.236.176.60,rowannews.com,NC,35.63,-80.54,0,200,79406,https://www.facebook.com/Rowan-News-106127457456478/,Rowan News,,,,,,,,Metric Media,
3.82.80.110,sarasotareview.com,FL,27.34,-82.53,0,200,75450,https://www.facebook.com/Sarasota-Review-100692781499565/,Sarasota Review,,,,,,,,Metric Media,
3.82.80.110,savannahstandard.com,GA,32.08,-81.09,0,200,63901,https://www.facebook.com/Savannah-Standard-103219098038052/,Savannah Standard,,,,,,,,Metric Media,
34.236.176.60,scmidlandnews.com,SC,34,-81.04,0,200,51682,https://www.facebook.com/SC-Midland-News-108730960801928/,SC Midland News,,,,,,,,Metric Media,
3.82.80.110,scvanews.com,VA,37.43,-78.66,1,200,55924,https://www.facebook.com/SC-Virginia-News-105573011113920/,SC Virginia News,,,,,,,,Metric Media,
3.82.80.110,seatlantanews.com,GA,33.75,-84.39,0,200,60309,https://www.facebook.com/SE-Atlanta-News-104478397910042/,SE Atlanta News,,,,,,,,Metric Media,
3.82.80.110,segeorgianews.com,GA,32.17,-82.9,0,200,61549,https://www.facebook.com/SE-Georgia-News-100396284991009/,SE Georgia News,,,,,,,,Metric Media,
3.82.80.110,senorthcarolinanews.com,NC,35.76,-79.02,0,200,79992,https://www.facebook.com/SE-North-Carolina-News-110819213651995/,SE North Carolina News,,,,,,,,Metric Media,
34.236.176.60,shenandoahvalleynews.com,VA,38.48,-78.85,0,200,54589,https://www.facebook.com/Shenandoah-Valley-News-108900960776166/,Shenandoah Valley News,,,,,,,,Metric Media,
3.82.80.110,southashevillenews.com,NC,35.6,-82.55,0,200,80595,https://www.facebook.com/South-Asheville-News-106387787430394/,South Asheville News,,,,,,,,Metric Media,
34.236.176.60,southatlantanews.com,GA,33.75,-84.39,0,200,55466,https://www.facebook.com/South-Atlanta-News-111098153906366/,South Atlanta News,,,,,,,,Metric Media,
34.236.176.60,southbrowardnews.com,FL,26.19,-80.37,0,200,74201,https://www.facebook.com/South-Broward-News-104641014433049/,South Broward News,,,,,,,,Metric Media,
3.82.80.110,southcharlottetoday.com,NC,35.23,-80.84,0,200,78141,,South Charlotte Today,,,,,,,,Metric Media,
3.212.144.110,southcharolettenews.com,,35.23,-80.84,0,,,,,,,,,,,,,
34.236.176.60,southernwvnews.com,WV,37.68,-82.29,0,200,48823,https://www.facebook.com/Southern-West-Virginia-News-105600451107786/,Southern West Virginia News,,,,,,,,Metric Media,
3.82.80.110,southfairfaxnews.com,VA,38.85,-77.31,0,200,59271,https://www.facebook.com/South-Fairfax-News-113934636938369,South Fairfax News,,,,,,,,Metric Media,
34.236.176.60,southfultontoday.com,GA,33.8,-84.4,0,200,55368,https://www.facebook.com/South-Fulton-Today-100794934950355/,South Fulton Today,,,,,,,,Metric Media,
34.236.176.60,southgeorgiatimes.com,GA,32.17,-82.9,0,200,56862,https://www.facebook.com/South-Georgia-Times-106301011058880/,South Georgia Times,,,,,,,,Metric Media,
34.236.176.60,southguilfordnews.com,NC,36.09,-79.83,0,200,79773,https://www.facebook.com/South-Guilford-News-100112064728186/,South Guilford News,,,,,,,,Metric Media,
