domain,lat,lng,locationVerified,awsOrigin,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets
grandrapidsreporter.com,42.9633599,-85.6680863,0,3.218.216.245,https://business.facebook.com/Grand-Rapids-Reporter-111393033542730/?business_id=898179107217559,Grand Rapids Reporter,,,,,,,
graysontimes.com,35.5031598,-95.8727725,0,3.213.234.4,,Grayson Times,,,,,,,
greatlakeswire.com,43.1240448,-89.3499345,0,3.218.216.245,https://business.facebook.com/Great-Lakes-Wire-110870006973319/?business_id=898179107217559,Great Lakes Wire,,,,,,,
greenbayreporter.com,44.5133188,-88.0132958,0,3.218.216.245,,,,,,,,,
greenecotimes.com,29.7763008,-95.741344,0,3.218.216.245,,,,,,,,,
greensbororeporter.com,36.0726354,-79.7919754,0,3.212.144.110,https://www.facebook.com/Greensboro-Reporter-116196246439218/,Greensboro Reporter,,,,,,,
greenvilleleader.com,34.8526176,-82.3940104,0,3.212.144.110,,,,,,,,,
greenvillereporter.com,34.8526176,-82.3940104,0,3.212.144.110,https://www.facebook.com/Greenville-Reporter-121924869195889/,Greenville Reporter,,,,,,,
grundyreporter.com,37.2778886,-82.0990223,0,35.170.88.147,https://www.facebook.com/Grundy-Reporter-111376299540998,Grundy Reporter,,,,,,,
gtrtimes.com,26.1306899,-80.2020047,0,3.213.234.4,,,,,,,,,
hamiltonreporter.com,37.1929578,-95.7175467,0,3.213.234.4,,,,,,,,,
harfordnews.com,39.5838964,-76.3637285,0,35.170.88.147,https://www.facebook.com/,Harford News,,,,,,,
hawkeyereporter.com,38.0055931,-92.3929539,0,3.224.13.68,https://www.facebook.com/Hawkeye-Reporter-110638887011923/,Hawkeye Reporter,,,,,,,
henricotimes.com,37.5059332,-77.3324425,0,3.212.144.110,,,,,,,,,
hernandoreporter.com,28.5578826,-82.4752757,0,3.212.144.110,,Hernando Reporter,,,,,,,
hibusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Hawaii-Business-Daily-247929739329034,Hawaii Business Daily,,,,,,,
hickorysun.com,35.7344538,-81.3444573,0,3.212.144.110,https://www.facebook.com/Hickory-Sun-111121563617189/,Hickory Sun,,,,,,,
highcountrytimes.com,42.5424891,-71.7475692,0,3.212.144.110,https://www.facebook.com/High-Country-Times-107671310631667/,High Country Times,,,,,,,
hillcountrychronicle.com,34.2206299,-80.9722696,0,3.213.234.4,,Hill Country Chronicle,,,,,,,
hiltonheadreporter.com,32.2010982,-80.7369815,0,3.212.144.110,,,,,,,,,
hindstoday.com,32.2648353,-90.3748354,0,3.213.234.4,,,,,,,,,
hollandreporter.com,52.132633,5.291266,0,3.218.216.245,https://business.facebook.com/Holland-Reporter-101483974584819/?business_id=898179107217559,Holland Reporter,,,,,,,
hoosierstatetoday.com,40.2671941,-86.1349019,0,3.218.216.245,,,,,,,,,
hopkinsvilletimes.com,36.8656008,-87.4886186,0,3.213.234.4,https://business.facebook.com/Hopkinsville-Times-112952850084678/?business_id=898179107217559,Hopkinsville Times,,,,,,,
hotspringstimes.com,45.6604092,-111.1880102,0,3.213.234.4,,,,,,,,,
houmathibodauxnews.com,29.6464394,-90.8165023,0,3.213.234.4,,,,,,,,,
houstonrepublic.com,29.8219587,-95.2445685,0,3.213.234.4,,Houston Republic,,,,,,,
howardconews.com,39.2873463,-76.964306,0,35.170.88.147,https://www.facebook.com/,Howard County News,,,,,,,
huntingtontimes.com,45.0271545,-84.6733991,0,3.212.144.110,,,,,,,,,
huntsvilleleader.com,34.7303688,-86.5861037,0,3.213.234.4,,,,,,,,,
hutchtoday.com,37.8230951,-82.8318328,0,3.224.13.68,,,,,,,,,
iabusinessdaily.com,,,0,34.234.42.207,https://www.facebook.com/Iowa-Business-Daily-653068658217747/,Iowa Business Daily,,,,,,,
ibxnews.com,39.9538072,-75.1719799,0,3.212.144.110,https://www.facebook.com/IBX-News-116157859776600/,IBX News,,,,,,,
idbusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Idaho-Business-Daily-1902761486691748,Idaho Business Daily,,,,,,,
ilbusinessdaily.com,,,0,34.234.42.207,https://facebook.com/ilbusinessdaily/,Illinois Business Daily,,,,,,,
illinoisvalleytimes.com,39.1267023,-89.8159217,0,35.170.88.147,https://www.facebook.com/Illinois-Valley-Times-1544775089163392/,Illinois Valley Times,IL_valley_times,,2016-05-31T21:09:09.000Z,7.38E+17,99,19,2195
indianabusinessdaily.com,39.7668804,-86.1565876,0,34.234.42.207,https://facebook.com/Indiana-Business-Daily-210341736470656/,Indiana Business Daily,,,,,,,
indystandard.com,39.768403,-86.158068,0,3.218.216.245,,,,,,,,,
injouercad.us,,,0,3.212.144.110,#N/A,,,,,,,,
iowacitytoday.com,41.6611277,-91.5301683,0,3.224.13.68,https://www.facebook.com/Iowa-City-Today-116453419760333/,Iowa City Today,,,,,,,
jacksonpurchasenews.com,37.0572381,-88.5738195,0,3.213.234.4,https://business.facebook.com/Jackson-Purchase-News-110979343616674/?business_id=898179107217559,Jackson Purchase News,,,,,,,
jeffcitynews.com,38.5767017,-92.1735164,0,3.224.13.68,,,,,,,,,
jeffcotimes.com,39.5800298,-105.2662931,0,3.224.13.68,,,,,,,,,
jeffersonreporter.com,37.1095843,-95.7625713,0,3.213.234.4,,,,,,,,,
jocotoday.com,35.4403514,-78.3842227,0,3.224.13.68,,,,,,,,,
johnsoncitytimes.com,36.3134397,-82.3534727,0,3.213.234.4,,,,,,,,,
johnstonreporter.com,41.6709834,-93.7130493,0,3.212.144.110,https://www.facebook.com/Johnston-Reporter-113415450052248,Johnston Reporter,,,,,,,
jonesborotimes.com,35.8422967,-90.704279,0,3.213.234.4,,,,,,,,,
kalamazootimes.com,42.2917069,-85.5872286,0,3.218.216.245,https://business.facebook.com/Kalamazoo-Times-109349107125073/?business_id=898179107217559,Kalamazoo Times,,,,,,,
kanecountyreporter.com,41.987884,-88.4016041,0,35.170.88.147,https://www.facebook.com/Kane-County-Reporter-113001215788482/,Kane County Reporter,kane_reporter,,2016-05-31T21:18:18.000Z,7.38E+17,188,111,6213
kankakeetimes.com,41.1200325,-87.8611531,0,35.170.88.147,https://www.facebook.com/kankakeetimes,Kankakee Times,Kankakee_Times,,2015-11-18T13:34:04.000Z,4218254801,487,244,2257
kcreporter.com,39.0997265,-94.5785667,0,3.224.13.68,,,,,,,,,
